,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
355,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
356,torchbox3d,96,59,71,1,2,8,15,1%,1%,9%
357,torchbox3d,19,9,7,0,1,6,5,0%,0%,32%
358,torchbox3d,172,63,91,1,2,47,32,1%,1%,28%
359,torchbox3d,15,14,8,6,4,0,3,40%,75%,40%
360,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
361,torchbox3d,84,29,35,0,0,34,15,0%,0%,40%
362,torchbox3d,38,17,22,0,1,8,7,0%,0%,21%
363,torchbox3d,52,18,18,0,0,21,13,0%,0%,40%
364,torchbox3d,4,1,0,0,0,3,1,0%,0%,75%
365,torchbox3d,70,36,26,0,2,24,18,0%,0%,34%
366,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
367,torchbox3d,142,64,63,4,5,41,33,3%,6%,32%
368,torchbox3d,255,121,169,4,5,36,45,2%,2%,16%
369,torchbox3d,112,57,62,0,3,26,21,0%,0%,23%
370,torchbox3d,220,78,90,0,1,83,46,0%,0%,38%
371,torchbox3d,196,96,103,17,17,34,42,9%,17%,26%
372,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
373,torchbox3d,184,71,105,11,13,32,34,6%,10%,23%
374,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
375,torchbox3d,133,61,87,1,2,22,22,1%,1%,17%
376,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
377,torchbox3d,242,72,103,3,3,95,41,1%,3%,40%
378,l2r,97,42,57,7,9,7,24,7%,12%,14%
379,l2r,115,44,64,54,36,0,15,47%,84%,47%
380,l2r,2,2,2,2,0,0,0,100%,100%,100%
381,l2r,7,7,7,7,0,0,0,100%,100%,100%
382,l2r,67,31,31,0,0,19,17,0%,0%,28%
383,l2r,90,63,61,9,11,0,18,10%,15%,10%
384,l2r,160,4,158,1,1,0,1,1%,1%,1%
385,l2r,273,158,166,3,11,51,45,1%,2%,20%
386,l2r,5,5,5,5,0,0,0,100%,100%,100%
387,l2r,76,40,38,0,4,19,15,0%,0%,25%
388,l2r,51,37,40,0,3,0,8,0%,0%,0%
389,l2r,25,17,16,0,0,3,6,0%,0%,12%
390,l2r,0,0,0,0,0,0,0,0%,0%,0%
391,l2r,136,65,82,5,6,18,30,4%,6%,17%
392,l2r,398,161,197,3,6,125,70,1%,2%,32%
393,l2r,323,157,196,26,25,41,61,8%,13%,21%
394,l2r,2,2,2,2,0,0,0,100%,100%,100%
395,l2r,570,273,328,20,20,124,98,4%,6%,25%
396,l2r,77,36,29,0,2,29,17,0%,0%,38%
397,l2r,0,0,0,0,0,0,0,0%,0%,0%
398,l2r,40,22,27,0,3,3,7,0%,0%,8%
399,l2r,61,36,48,0,0,3,10,0%,0%,5%
400,l2r,0,0,0,0,0,0,0,0%,0%,0%
401,l2r,0,0,0,0,0,0,0,0%,0%,0%
402,l2r,89,52,59,0,2,9,19,0%,0%,10%
403,l2r,0,0,0,0,0,0,0,0%,0%,0%
404,l2r,37,14,27,0,0,3,7,0%,0%,8%
405,l2r,0,0,0,0,0,0,0,0%,0%,0%
