,Repository,block_type,Classification
578,pylot,C,A
579,pylot,M,A
580,pylot,C,A
581,pylot,C,A
582,pylot,F,A
583,pylot,F,A
584,pylot,M,A
585,pylot,M,A
586,pylot,M,A
587,pylot,M,A
588,pylot,M,A
589,pylot,M,A
590,pylot,M,A
591,pylot,M,A
592,pylot,M,A
593,pylot,M,A
594,pylot,M,A
595,pylot,M,A
596,pylot,M,A
597,pylot,M,A
598,pylot,M,A
599,pylot,M,A
600,pylot,M,A
601,pylot,M,A
602,pylot,M,A
603,pylot,M,A
604,pylot,M,A
605,pylot,M,A
606,pylot,M,A
607,pylot,M,A
608,pylot,M,A
609,pylot,M,A
610,pylot,M,A
611,pylot,M,A
612,pylot,M,A
613,pylot,M,A
614,pylot,M,A
615,pylot,M,A
616,pylot,C,A
617,pylot,M,A
618,pylot,M,A
619,pylot,M,A
620,pylot,M,A
621,pylot,C,A
622,pylot,M,A
623,pylot,M,A
624,pylot,M,A
625,pylot,C,A
626,pylot,M,A
627,pylot,M,A
628,pylot,M,A
629,pylot,M,A
630,pylot,M,A
631,pylot,C,A
632,pylot,M,A
633,pylot,M,A
634,pylot,M,A
635,pylot,M,A
636,pylot,M,A
637,pylot,M,A
638,pylot,M,A
639,pylot,M,A
640,pylot,M,A
641,pylot,M,A
642,pylot,M,A
643,pylot,M,A
644,pylot,M,A
645,pylot,C,A
646,pylot,M,A
647,pylot,M,A
648,pylot,M,A
649,pylot,M,A
650,pylot,M,A
651,pylot,M,A
652,pylot,M,A
653,pylot,M,A
654,pylot,M,B
655,pylot,C,A
656,pylot,M,A
657,pylot,M,A
658,pylot,M,A
659,pylot,M,A
660,pylot,F,A
661,pylot,F,A
662,pylot,F,A
663,pylot,C,A
664,pylot,M,A
665,pylot,M,A
666,pylot,M,A
667,pylot,M,C
668,pylot,M,A
669,pylot,C,A
670,pylot,M,A
671,pylot,M,A
672,pylot,M,A
673,pylot,M,A
674,pylot,M,A
675,pylot,M,A
676,pylot,M,A
677,pylot,M,A
678,pylot,C,A
679,pylot,M,A
680,pylot,M,A
681,pylot,M,A
682,pylot,M,A
683,pylot,M,A
684,pylot,M,A
685,pylot,M,A
686,pylot,M,A
687,pylot,M,A
688,pylot,M,A
689,pylot,M,A
690,pylot,M,A
691,pylot,F,B
692,pylot,F,A
693,pylot,F,A
694,pylot,F,A
695,pylot,F,A
696,pylot,F,A
697,pylot,C,A
698,pylot,M,A
699,pylot,M,A
700,pylot,M,A
701,pylot,M,D
702,pylot,M,C
703,pylot,M,C
704,pylot,C,B
705,pylot,M,B
706,pylot,M,B
707,pylot,M,B
708,pylot,M,A
709,pylot,M,A
710,pylot,M,A
711,pylot,M,A
712,pylot,M,B
713,pylot,M,B
714,pylot,M,A
715,pylot,M,A
716,pylot,C,A
717,pylot,M,A
718,pylot,M,A
719,pylot,M,A
720,pylot,M,A
721,pylot,M,A
722,pylot,M,A
723,pylot,M,A
724,pylot,M,A
725,pylot,M,A
726,pylot,M,A
727,pylot,M,A
728,pylot,M,A
729,pylot,M,C
730,pylot,M,B
731,pylot,C,A
732,pylot,M,A
733,pylot,M,A
734,pylot,C,A
735,pylot,M,A
736,pylot,M,A
737,pylot,M,A
738,pylot,M,A
739,pylot,M,A
740,pylot,M,A
741,pylot,M,A
742,pylot,M,A
743,pylot,M,A
744,pylot,F,B
745,pylot,F,A
746,pylot,C,A
747,pylot,C,A
748,pylot,C,A
749,pylot,M,A
750,pylot,M,A
751,pylot,M,A
752,pylot,M,A
753,pylot,M,A
754,pylot,M,A
755,pylot,C,A
756,pylot,M,A
757,pylot,M,A
758,pylot,M,A
759,pylot,C,A
760,pylot,M,A
761,pylot,M,A
762,pylot,M,A
763,pylot,C,A
764,pylot,M,A
765,pylot,M,A
766,pylot,M,A
767,pylot,M,A
768,pylot,M,A
769,pylot,M,A
770,pylot,M,B
771,pylot,C,A
772,pylot,M,A
773,pylot,M,A
774,pylot,M,A
775,pylot,M,A
776,pylot,M,A
777,pylot,M,A
778,pylot,M,B
779,pylot,M,A
780,pylot,C,A
781,pylot,M,A
782,pylot,M,A
783,pylot,M,A
784,pylot,M,A
785,pylot,M,A
786,pylot,F,A
787,pylot,M,A
788,pylot,M,A
789,pylot,C,A
790,pylot,M,A
791,pylot,M,A
792,pylot,M,A
793,pylot,M,A
794,pylot,M,A
795,pylot,M,A
796,pylot,M,A
797,pylot,M,A
798,pylot,M,A
799,pylot,M,A
800,pylot,M,B
801,pylot,C,A
802,pylot,M,A
803,pylot,M,A
804,pylot,M,A
805,pylot,M,A
806,pylot,M,A
807,pylot,M,A
808,pylot,M,A
809,pylot,M,A
810,pylot,M,A
811,pylot,M,B
812,pylot,M,B
813,pylot,M,A
814,pylot,M,A
815,pylot,C,A
816,pylot,M,A
817,pylot,M,A
818,pylot,M,A
819,pylot,M,A
820,pylot,M,A
821,pylot,C,A
822,pylot,M,A
823,pylot,M,A
824,pylot,M,A
825,pylot,M,A
826,pylot,M,A
827,pylot,M,A
828,pylot,M,A
829,pylot,M,A
830,pylot,M,A
831,pylot,M,A
832,pylot,F,C
833,pylot,F,B
834,pylot,F,B
835,pylot,F,B
836,pylot,F,A
837,pylot,F,A
838,pylot,F,A
839,pylot,F,A
840,pylot,F,A
841,pylot,F,A
842,pylot,F,A
843,pylot,F,A
844,pylot,F,A
845,pylot,F,A
846,pylot,F,A
847,pylot,F,A
848,pylot,F,A
849,pylot,F,A
850,pylot,F,A
851,pylot,F,A
852,pylot,F,A
853,pylot,F,A
854,pylot,C,A
855,pylot,C,A
856,pylot,M,A
857,pylot,C,A
858,pylot,M,A
859,pylot,C,A
860,pylot,M,A
861,pylot,M,A
862,pylot,M,A
863,pylot,M,A
864,pylot,M,A
865,pylot,M,A
866,pylot,M,A
867,pylot,M,B
868,pylot,C,A
869,pylot,M,A
870,pylot,M,A
871,pylot,M,A
872,pylot,M,A
873,pylot,M,A
874,pylot,M,A
875,pylot,M,A
876,pylot,C,A
877,pylot,M,A
878,pylot,M,A
879,pylot,M,A
880,pylot,M,A
881,pylot,M,C
882,pylot,M,B
883,pylot,F,A
884,pylot,C,A
885,pylot,F,A
886,pylot,M,A
887,pylot,F,A
888,pylot,F,A
889,pylot,M,A
890,pylot,M,A
891,pylot,F,A
892,pylot,M,A
893,pylot,M,A
894,pylot,F,A
895,pylot,M,A
896,pylot,M,A
897,pylot,M,A
898,pylot,F,C
899,pylot,M,C
900,pylot,C,B
901,pylot,F,A
902,pylot,F,A
903,pylot,M,A
904,pylot,M,A
905,pylot,F,A
906,pylot,F,A
907,pylot,M,A
908,pylot,M,B
909,pylot,C,A
910,pylot,M,A
911,pylot,M,A
912,pylot,M,A
913,pylot,M,A
914,pylot,M,A
915,pylot,M,A
916,pylot,M,A
917,pylot,F,A
918,pylot,F,A
919,pylot,M,A
920,pylot,M,A
921,pylot,M,A
922,pylot,M,A
923,pylot,M,A
924,pylot,M,A
925,pylot,M,A
926,pylot,M,B
927,pylot,M,B
928,pylot,M,B
929,pylot,M,B
930,pylot,M,B
931,pylot,M,A
932,pylot,C,A
933,pylot,M,A
934,pylot,M,A
935,pylot,M,A
936,pylot,M,A
937,pylot,M,A
938,pylot,M,A
939,pylot,M,A
940,pylot,M,A
941,pylot,M,A
942,pylot,M,A
943,pylot,M,A
944,pylot,M,A
945,pylot,M,A
946,pylot,M,A
947,pylot,M,C
948,pylot,C,A
949,pylot,M,A
950,pylot,M,A
951,pylot,M,A
952,pylot,M,A
953,pylot,M,A
954,pylot,M,A
955,pylot,M,A
956,pylot,M,A
957,pylot,M,A
958,pylot,M,A
959,pylot,M,A
960,pylot,M,A
961,pylot,M,A
962,pylot,M,A
963,pylot,C,A
964,pylot,M,A
965,pylot,M,A
966,pylot,M,A
967,pylot,M,A
968,pylot,M,A
969,pylot,M,A
970,pylot,M,A
971,pylot,M,A
972,pylot,M,A
973,pylot,M,A
974,pylot,C,A
975,pylot,M,A
976,pylot,M,A
977,pylot,M,A
978,pylot,M,A
979,pylot,M,A
980,pylot,M,A
981,pylot,M,A
982,pylot,M,A
983,pylot,M,A
984,pylot,M,A
985,pylot,M,A
986,pylot,M,A
987,pylot,M,A
988,pylot,M,A
989,pylot,M,A
990,pylot,M,B
991,pylot,M,B
992,pylot,M,B
993,pylot,C,A
994,pylot,M,A
995,pylot,M,A
996,pylot,M,A
997,pylot,M,A
998,pylot,M,A
999,pylot,M,A
1000,pylot,C,A
1001,pylot,M,A
1002,pylot,M,A
1003,pylot,M,A
1004,pylot,M,A
1005,pylot,M,A
1006,pylot,M,A
1007,pylot,M,B
