,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
75,CVPR2023-3D-Occupancy-Prediction,7.574617506897416,2,0,0,1.4470339899719178,9.481481481481481,41160.07793697899,2286.6709964988327,4341.101969915753
76,pylot,14.38134810710988,5,8,1,0.9787570879645138,23.31325301204819,68454.03488715665,3803.0019381753696,2936.2712638935413
77,CVPR2023-3D-Occupancy-Prediction,26.795366795366796,3,27,1,1.7308959575096254,41.77358490566038,216917.18773167796,12050.95487398211,5192.687872528876
78,PythonRobotics,3.693611867998789,18,12,1,2.9505878986392107,78.09917355371901,691315.4291439804,38406.412730221135,8851.763695917633
79,l5kit,24.479166666666668,2,8,1,0.8443390314004954,32.06896551724138,81231.23784853042,4512.846547140579,2533.017094201486
80,PythonRobotics,13.62530413625304,3,3,0,0.3768144909914719,27.2,30748.062464904106,1708.2256924946726,1130.4434729744157
81,pylot,21.25832080738673,17,4,1,2.1733253729615503,61.949999999999996,403912.52056490415,22439.584475828007,6519.976118884651
82,RTM3D,19.384615384615383,2,2,0,0.408743584748219,13.042857142857143,15993.552551791026,888.5306973217237,1226.230754244657
83,PythonRobotics,34.89942739685802,0,7,1,2.76024500726263,53.56,443516.1677669594,24639.787098164412,8280.73502178789
84,l5kit,8.373349339735894,0,11,1,3.9415511206333314,93.67289719626169,1107649.5387506883,61536.08548614935,11824.653361899995
85,PythonRobotics,21.37741046831956,5,10,1,0.4919070578612265,11.808510638297873,17426.069177424302,968.1149543013502,1475.7211735836795
86,l5kit,38.30121903263861,0,4,0,0.5831619335525648,42.96875,75173.2179970103,4176.289888722795,1749.4858006576944
87,CVPR2023-3D-Occupancy-Prediction,46.549560853199495,2,0,0,0.155,3.7962962962962967,1765.277777777778,98.070987654321,465.0
88,CVPR2023-3D-Occupancy-Prediction,0.22865853658536586,17,7,1,2.3105027799248377,85.04347826086956,589479.5788086499,32748.86548936944,6931.508339774513
89,l5kit,22.679045092838198,0,3,1,0.4744628105241262,32.89473684210526,46821.98788067034,2601.2215489261303,1423.3884315723785
90,l5kit,40.24201283848594,4,9,1,2.9372540291645897,56.23703703703704,495547.3908759459,27530.410604219218,8811.76208749377
91,PythonRobotics,4.137481674539828,52,5,1,3.3964852322347627,137.05913978494624,1396558.0326671097,77586.55737039499,10189.455696704288
92,PythonRobotics,10.931174089068826,3,3,1,0.03678716557125305,4.2,463.5182861977885,25.75101589987714,110.36149671375915
93,CVPR2023-3D-Occupancy-Prediction,25.37313432835821,2,0,0,0.1356656757666757,3.1896551724137936,1298.1801732845695,72.12112073803164,406.9970273000271
94,PythonRobotics,41.67838217800368,25,11,1,2.249088208290108,60.28301886792453,406745.4806879374,22596.971149329856,6747.264624870323
95,CVPR2023-3D-Occupancy-Prediction,29.309215910951057,18,18,1,3.038668977907269,67.01550387596899,610913.7980001939,33939.65544445522,9116.006933721806
96,l5kit,57.48792270531401,0,3,0,0.36845439382795,22.193548387096776,24531.93125357706,1362.88506964317,1105.36318148385
97,l5kit,36.78741926425162,5,13,1,1.259459715059338,31.956521739130437,120743.85529155828,6707.991960642127,3778.379145178014
98,pylot,27.433514071778983,17,4,1,1.6939134668864153,77.31428571428572,392891.1292623977,21827.284959022094,5081.740400659246
99,pylot,37.76362912853163,0,3,0,0.5379981912972086,26.021739130434785,41998.94575974513,2333.2747644302854,1613.9945738916258
100,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
